gene_id	A2780_down	UWB_BRCAdef_down	PEO1_down
LDOC1	TRUE	FALSE	FALSE
GLT8D2	TRUE	FALSE	FALSE
COL11A1	TRUE	FALSE	FALSE
MAP1B	TRUE	FALSE	FALSE
LIMS2	TRUE	FALSE	FALSE
PLIN2	TRUE	TRUE	FALSE
SLC38A4	TRUE	TRUE	FALSE
BDNF	TRUE	FALSE	TRUE
ZSCAN18	TRUE	FALSE	FALSE
BARX1	TRUE	FALSE	FALSE
FILIP1	TRUE	TRUE	FALSE
ZNF467	TRUE	FALSE	FALSE
DOCK3	TRUE	FALSE	FALSE
MUC15	TRUE	FALSE	FALSE
CNN1	TRUE	FALSE	FALSE
MAP2K6	TRUE	FALSE	FALSE
SVIL	TRUE	FALSE	FALSE
FIBIN	TRUE	FALSE	FALSE
ZNF331	TRUE	FALSE	FALSE
ANTXR2	TRUE	FALSE	FALSE
CHDH	TRUE	FALSE	FALSE
AS3MT	TRUE	FALSE	FALSE
CNTNAP1	TRUE	TRUE	FALSE
UCP2	TRUE	TRUE	FALSE
CD160	TRUE	FALSE	FALSE
MEIS1	TRUE	TRUE	TRUE
NPR2	TRUE	FALSE	FALSE
SHC2	TRUE	FALSE	FALSE
NAV1	TRUE	FALSE	FALSE
HAND2	TRUE	FALSE	FALSE
CACNG7	TRUE	FALSE	FALSE
B3GALNT1	TRUE	TRUE	FALSE
SYPL2	TRUE	FALSE	FALSE
RBPMS2	TRUE	FALSE	FALSE
QPRT	TRUE	FALSE	FALSE
ATP10A	TRUE	FALSE	TRUE
MEIOB	TRUE	TRUE	FALSE
SELENOP	TRUE	FALSE	FALSE
PTCH1	TRUE	FALSE	FALSE
LATS2	TRUE	FALSE	FALSE
PAX9	TRUE	TRUE	TRUE
ZNF549	TRUE	FALSE	FALSE
MSR1	TRUE	TRUE	FALSE
GALC	TRUE	TRUE	TRUE
APBA2	TRUE	FALSE	FALSE
RAB6B	TRUE	FALSE	FALSE
GRB10	TRUE	FALSE	FALSE
ITPR1	TRUE	FALSE	FALSE
SOCS2	TRUE	TRUE	FALSE
COL6A2	TRUE	FALSE	FALSE
PAX2	TRUE	FALSE	FALSE
GNAL	TRUE	FALSE	TRUE
HOXC6	TRUE	FALSE	FALSE
PDZK1	TRUE	FALSE	FALSE
ZNF83	TRUE	FALSE	FALSE
GSG1	TRUE	FALSE	FALSE
BCAT1	TRUE	TRUE	FALSE
NRSN2	TRUE	FALSE	FALSE
DNER	TRUE	FALSE	FALSE
ALX4	TRUE	FALSE	FALSE
SERPINB9	TRUE	TRUE	FALSE
TNFRSF19	TRUE	FALSE	FALSE
RBM20	TRUE	FALSE	FALSE
CDH12	TRUE	FALSE	FALSE
TUBA1A	TRUE	FALSE	FALSE
CNNM1	TRUE	FALSE	FALSE
ZNF71	TRUE	FALSE	FALSE
XBP1	TRUE	TRUE	FALSE
APLP1	TRUE	FALSE	FALSE
EMP1	TRUE	TRUE	FALSE
TGFBR2	TRUE	FALSE	FALSE
OLFM2	TRUE	FALSE	FALSE
VCAN	TRUE	FALSE	FALSE
MAP3K15	TRUE	FALSE	FALSE
SCIN	TRUE	FALSE	FALSE
ID4	TRUE	FALSE	FALSE
TUBB4A	TRUE	FALSE	FALSE
MARS	TRUE	FALSE	FALSE
SKIDA1	TRUE	FALSE	FALSE
CSPG4	TRUE	FALSE	FALSE
DNM3	TRUE	FALSE	FALSE
PDGFC	TRUE	FALSE	FALSE
SLC39A14	TRUE	FALSE	FALSE
TRAPPC3L	TRUE	FALSE	FALSE
MRAS	TRUE	FALSE	FALSE
TM4SF1	TRUE	FALSE	FALSE
SPIN4	TRUE	TRUE	FALSE
MAT1A	TRUE	FALSE	FALSE
RIMS4	TRUE	FALSE	TRUE
ENO3	TRUE	TRUE	FALSE
NUDT11	TRUE	FALSE	FALSE
SPIN3	TRUE	FALSE	FALSE
TMSB4X	TRUE	FALSE	FALSE
TFPI	TRUE	TRUE	FALSE
ZFP82	TRUE	TRUE	FALSE
UNC13A	TRUE	FALSE	FALSE
SLC17A7	TRUE	FALSE	FALSE
RET	TRUE	FALSE	FALSE
ANKRD34B	TRUE	FALSE	FALSE
IGF2R	TRUE	FALSE	FALSE
C20orf96	TRUE	FALSE	FALSE
BAG2	TRUE	FALSE	FALSE
RGAG4	TRUE	FALSE	FALSE
GLI1	TRUE	FALSE	FALSE
ECI2	TRUE	FALSE	FALSE
SPRY1	TRUE	FALSE	FALSE
APBB1	TRUE	FALSE	FALSE
TMEM30B	TRUE	FALSE	FALSE
GBP2	TRUE	TRUE	FALSE
NPTX2	TRUE	FALSE	FALSE
ACTA2	TRUE	FALSE	FALSE
ZNF329	TRUE	FALSE	FALSE
CRLF1	TRUE	FALSE	FALSE
TRIM2	TRUE	FALSE	FALSE
AMOT	TRUE	FALSE	FALSE
TBX20	TRUE	FALSE	FALSE
RNF115	TRUE	FALSE	FALSE
TMSB15A	TRUE	FALSE	FALSE
CMTM7	TRUE	FALSE	TRUE
NAP1L2	TRUE	TRUE	FALSE
SGCA	TRUE	FALSE	FALSE
SLC31A1	TRUE	TRUE	FALSE
PGPEP1L	TRUE	FALSE	FALSE
TM4SF18	TRUE	FALSE	FALSE
NXPH3	TRUE	FALSE	FALSE
HOXC8	TRUE	FALSE	FALSE
EFNB3	TRUE	FALSE	FALSE
SMARCD3	TRUE	FALSE	FALSE
ZNF320	TRUE	FALSE	FALSE
ZNF667	TRUE	FALSE	FALSE
GSPT2	TRUE	FALSE	FALSE
WDR17	TRUE	FALSE	FALSE
FKBP10	TRUE	FALSE	FALSE
ISL1	TRUE	FALSE	TRUE
ODC1	TRUE	FALSE	FALSE
ELFN1	TRUE	FALSE	FALSE
HOXA10	TRUE	FALSE	FALSE
C1orf43	TRUE	FALSE	FALSE
HPCAL4	TRUE	FALSE	FALSE
GJA1	TRUE	FALSE	FALSE
PRR36	TRUE	FALSE	FALSE
CGREF1	TRUE	FALSE	TRUE
CAMK1	TRUE	FALSE	FALSE
HOXB9	TRUE	FALSE	TRUE
P3H3	TRUE	TRUE	FALSE
PCYT1B	TRUE	TRUE	FALSE
DMRT2	TRUE	FALSE	FALSE
NEBL	TRUE	FALSE	FALSE
DCN	TRUE	FALSE	FALSE
YARS	TRUE	FALSE	FALSE
PDE4D	TRUE	TRUE	FALSE
ZFP28	TRUE	FALSE	FALSE
ST6GAL1	TRUE	TRUE	TRUE
FLT4	TRUE	FALSE	FALSE
ETV1	TRUE	TRUE	FALSE
KIF5A	TRUE	FALSE	FALSE
GFPT2	TRUE	FALSE	TRUE
KCNQ4	TRUE	FALSE	FALSE
NR4A3	TRUE	FALSE	FALSE
PNMA2	TRUE	FALSE	FALSE
CCDC74A	TRUE	FALSE	TRUE
5-Sep	TRUE	FALSE	FALSE
COL6A1	TRUE	FALSE	FALSE
COMP	TRUE	FALSE	FALSE
MAFA	TRUE	FALSE	FALSE
DLG4	TRUE	FALSE	FALSE
TBL1X	TRUE	FALSE	FALSE
OSTN	TRUE	FALSE	FALSE
NOS3	TRUE	FALSE	FALSE
DIRAS1	TRUE	FALSE	FALSE
SAMD11	TRUE	FALSE	FALSE
PLCH1	TRUE	TRUE	FALSE
C4orf22	TRUE	FALSE	FALSE
LHX9	TRUE	FALSE	FALSE
WWC3	TRUE	FALSE	FALSE
ALPPL2	TRUE	FALSE	FALSE
TTC28	TRUE	FALSE	FALSE
TESC	TRUE	FALSE	FALSE
SGPL1	TRUE	FALSE	FALSE
HSD17B14	TRUE	FALSE	FALSE
COL26A1	TRUE	FALSE	FALSE
NAP1L5	TRUE	TRUE	FALSE
IL11	TRUE	FALSE	FALSE
SLC25A33	TRUE	FALSE	FALSE
CREBBP	TRUE	FALSE	FALSE
BRSK1	TRUE	FALSE	FALSE
RRAGD	TRUE	FALSE	FALSE
GALM	TRUE	TRUE	FALSE
IGFBP3	TRUE	FALSE	FALSE
OPTN	TRUE	TRUE	FALSE
COX7A2L	TRUE	FALSE	FALSE
TMEM130	TRUE	FALSE	FALSE
TFPI2	TRUE	FALSE	FALSE
ADGRL1	TRUE	FALSE	FALSE
PTPRJ	TRUE	FALSE	FALSE
PCDH10	TRUE	FALSE	FALSE
RADIL	TRUE	FALSE	FALSE
SLC35E1	TRUE	FALSE	FALSE
NEO1	TRUE	FALSE	FALSE
GLDC	TRUE	TRUE	TRUE
GPR27	TRUE	FALSE	TRUE
RBMS3	TRUE	FALSE	FALSE
DCAF8	TRUE	FALSE	FALSE
MSI1	TRUE	FALSE	TRUE
MYF5	TRUE	FALSE	FALSE
SPTAN1	TRUE	FALSE	FALSE
MEF2D	TRUE	FALSE	FALSE
GATAD2B	TRUE	FALSE	FALSE
CUBN	TRUE	FALSE	FALSE
COL1A2	TRUE	TRUE	FALSE
CYP26B1	TRUE	FALSE	FALSE
NKD2	TRUE	FALSE	FALSE
PSAT1	TRUE	FALSE	FALSE
PPP1R3C	TRUE	FALSE	FALSE
HTR7	TRUE	FALSE	FALSE
CNN3	TRUE	TRUE	FALSE
DNAJC15	TRUE	FALSE	FALSE
PARVB	TRUE	FALSE	FALSE
ZFHX3	TRUE	FALSE	FALSE
ID2	TRUE	FALSE	FALSE
CIB2	TRUE	FALSE	TRUE
NFATC4	TRUE	TRUE	FALSE
MEOX1	TRUE	FALSE	FALSE
TUB	TRUE	FALSE	FALSE
HMX3	TRUE	FALSE	FALSE
HEBP1	TRUE	TRUE	FALSE
SLC50A1	TRUE	TRUE	FALSE
GATA4	TRUE	FALSE	FALSE
ATRNL1	TRUE	FALSE	FALSE
CASZ1	TRUE	FALSE	FALSE
SIX1	TRUE	FALSE	FALSE
ATF3	TRUE	FALSE	FALSE
CCDC74B	TRUE	FALSE	FALSE
DCLK2	TRUE	FALSE	FALSE
HAPLN3	TRUE	FALSE	TRUE
ZNF415	TRUE	TRUE	FALSE
SMARCA1	TRUE	FALSE	FALSE
P4HB	TRUE	FALSE	FALSE
PLPPR3	TRUE	FALSE	FALSE
SLC1A4	TRUE	FALSE	FALSE
ABCC6	TRUE	FALSE	FALSE
ARID3B	TRUE	FALSE	FALSE
MCTP1	TRUE	TRUE	FALSE
TLX3	TRUE	FALSE	FALSE
LONRF2	TRUE	FALSE	FALSE
BCOR	TRUE	FALSE	FALSE
PALD1	TRUE	TRUE	FALSE
PPP1R3B	TRUE	TRUE	FALSE
HMGN5	TRUE	TRUE	FALSE
L1CAM	TRUE	TRUE	FALSE
TET1	TRUE	TRUE	FALSE
PTPN21	TRUE	FALSE	FALSE
CERS2	TRUE	FALSE	FALSE
SYT14	TRUE	TRUE	FALSE
PCSK1N	TRUE	FALSE	FALSE
SCARF2	TRUE	FALSE	TRUE
TGFB2	TRUE	TRUE	FALSE
MGAT3	TRUE	FALSE	FALSE
PDZD4	TRUE	FALSE	FALSE
PCDHB2	TRUE	FALSE	TRUE
CTPS1	TRUE	FALSE	FALSE
PAFAH1B1	TRUE	FALSE	FALSE
KIAA2022	TRUE	FALSE	FALSE
GNG11	TRUE	FALSE	FALSE
MEIS3	TRUE	FALSE	FALSE
TULP4	TRUE	FALSE	FALSE
SESN2	TRUE	FALSE	FALSE
ZEB1	TRUE	FALSE	FALSE
BCL9	TRUE	FALSE	FALSE
LAMC1	TRUE	TRUE	FALSE
BCL6	TRUE	FALSE	TRUE
CSDC2	TRUE	FALSE	TRUE
SAMD4A	TRUE	FALSE	FALSE
KLF6	TRUE	FALSE	FALSE
CACNA1G	TRUE	FALSE	FALSE
FZD8	TRUE	FALSE	FALSE
NES	TRUE	FALSE	FALSE
RGS9	TRUE	FALSE	FALSE
CLCN5	TRUE	TRUE	FALSE
SPP1	TRUE	TRUE	FALSE
CLDN1	TRUE	TRUE	FALSE
TTYH2	TRUE	FALSE	FALSE
MICB	TRUE	FALSE	FALSE
TIMP1	TRUE	FALSE	FALSE
EFHD1	TRUE	FALSE	FALSE
NIPA1	TRUE	FALSE	FALSE
CACNA2D1	TRUE	TRUE	FALSE
CRYAB	TRUE	TRUE	FALSE
S100A13	TRUE	FALSE	FALSE
MRC2	TRUE	FALSE	TRUE
PHYHD1	TRUE	FALSE	FALSE
NEGR1	TRUE	TRUE	FALSE
TMEM268	TRUE	FALSE	FALSE
IGDCC4	TRUE	FALSE	FALSE
GLRX2	TRUE	FALSE	FALSE
ACTN3	TRUE	FALSE	FALSE
KCNAB3	TRUE	FALSE	FALSE
NCR3LG1	TRUE	FALSE	FALSE
PCDH9	TRUE	FALSE	FALSE
GPR158	TRUE	FALSE	FALSE
ADORA1	TRUE	TRUE	TRUE
BMF	TRUE	FALSE	FALSE
HOXB2	TRUE	TRUE	TRUE
PRKCG	TRUE	TRUE	FALSE
CHMP1B	TRUE	FALSE	TRUE
CRAT	TRUE	FALSE	FALSE
RNF144A	TRUE	FALSE	TRUE
NRN1	TRUE	FALSE	FALSE
DNASE2	TRUE	FALSE	FALSE
ANKRD6	TRUE	FALSE	FALSE
ZFP69B	TRUE	FALSE	FALSE
ELOVL2	TRUE	FALSE	FALSE
ARHGEF11	TRUE	FALSE	FALSE
FANCF	TRUE	FALSE	FALSE
GAMT	TRUE	FALSE	FALSE
ZNF470	TRUE	FALSE	FALSE
ANK2	TRUE	TRUE	FALSE
AMMECR1L	TRUE	FALSE	FALSE
SPRY4	TRUE	FALSE	FALSE
RASGEF1A	TRUE	FALSE	FALSE
SLC4A5	TRUE	FALSE	FALSE
EFEMP2	TRUE	FALSE	TRUE
EFR3B	TRUE	FALSE	FALSE
PPIC	TRUE	FALSE	FALSE
SOX8	TRUE	FALSE	FALSE
PSPH	TRUE	FALSE	FALSE
C16orf45	TRUE	FALSE	TRUE
DNAJC1	TRUE	FALSE	FALSE
MAPK8IP1	TRUE	FALSE	FALSE
GGT7	TRUE	FALSE	FALSE
ZFHX4	TRUE	FALSE	FALSE
IL32	TRUE	FALSE	FALSE
JTB	TRUE	FALSE	FALSE
PCBP2	TRUE	TRUE	FALSE
MFAP3L	TRUE	FALSE	FALSE
LIN28B	TRUE	TRUE	FALSE
GALNT16	TRUE	FALSE	FALSE
THSD7A	TRUE	FALSE	FALSE
PRDM8	TRUE	FALSE	FALSE
ZNF385D	TRUE	FALSE	FALSE
ARL4A	TRUE	FALSE	FALSE
SPOP	TRUE	FALSE	FALSE
PRKG1	TRUE	FALSE	FALSE
PLPP7	TRUE	FALSE	FALSE
WARS	TRUE	FALSE	FALSE
RAP1GAP2	TRUE	FALSE	FALSE
HERPUD1	TRUE	FALSE	FALSE
KCNJ12	TRUE	FALSE	FALSE
SELENOM	TRUE	FALSE	FALSE
SMAD9	TRUE	FALSE	FALSE
CLPTM1L	TRUE	FALSE	FALSE
FGF2	TRUE	TRUE	FALSE
SCCPDH	TRUE	FALSE	FALSE
IGF2BP1	TRUE	FALSE	FALSE
RUSC2	TRUE	FALSE	FALSE
MXRA7	TRUE	FALSE	FALSE
TTC39A	TRUE	TRUE	FALSE
ZNF827	TRUE	FALSE	FALSE
GSTM4	TRUE	TRUE	TRUE
APH1B	TRUE	FALSE	FALSE
ZMAT1	TRUE	FALSE	FALSE
EIF1	TRUE	FALSE	FALSE
SLC16A2	TRUE	FALSE	FALSE
EEF1A2	TRUE	FALSE	FALSE
RIMS3	TRUE	FALSE	FALSE
NKX2-5	TRUE	FALSE	FALSE
KIF17	TRUE	FALSE	FALSE
SARS	TRUE	FALSE	FALSE
OTOGL	TRUE	FALSE	FALSE
GOLM1	TRUE	FALSE	FALSE
CA14	TRUE	TRUE	FALSE
MYL9	TRUE	FALSE	FALSE
3-Sep	TRUE	FALSE	FALSE
KDM4A	TRUE	FALSE	FALSE
FAM234B	TRUE	TRUE	FALSE
CLGN	TRUE	TRUE	FALSE
CCDC8	TRUE	FALSE	FALSE
CMTM4	TRUE	FALSE	TRUE
CHAC1	TRUE	FALSE	FALSE
UHRF1BP1	TRUE	FALSE	FALSE
TMEM59L	TRUE	FALSE	FALSE
SYT5	TRUE	FALSE	FALSE
BTNL9	TRUE	FALSE	FALSE
IFFO1	TRUE	FALSE	FALSE
OCLN	TRUE	TRUE	FALSE
RPP25	TRUE	FALSE	TRUE
ZFAND3	TRUE	FALSE	FALSE
FOXC1	TRUE	FALSE	FALSE
TMTC2	TRUE	TRUE	FALSE
SYNE4	TRUE	FALSE	FALSE
HYOU1	TRUE	FALSE	TRUE
EZR	TRUE	FALSE	FALSE
VANGL2	TRUE	FALSE	FALSE
KIAA1211	TRUE	FALSE	FALSE
GPC6	TRUE	FALSE	FALSE
VKORC1L1	TRUE	FALSE	TRUE
CCDC84	TRUE	FALSE	FALSE
SEMA6A	TRUE	FALSE	FALSE
ERRFI1	TRUE	FALSE	FALSE
IKZF3	TRUE	FALSE	FALSE
TBX15	TRUE	TRUE	FALSE
CACNB4	TRUE	FALSE	FALSE
SNPH	TRUE	FALSE	FALSE
AKIRIN1	TRUE	FALSE	FALSE
S100A4	TRUE	FALSE	FALSE
KLK1	TRUE	FALSE	FALSE
TIAM2	TRUE	FALSE	FALSE
HOXC4	TRUE	FALSE	TRUE
BEX2	TRUE	FALSE	FALSE
ZNF608	TRUE	FALSE	TRUE
GSTA4	TRUE	TRUE	FALSE
HIBADH	TRUE	TRUE	FALSE
HSBP1L1	TRUE	FALSE	FALSE
WBSCR17	TRUE	FALSE	FALSE
HBQ1	TRUE	FALSE	FALSE
FERMT2	TRUE	FALSE	FALSE
SIK1	TRUE	FALSE	FALSE
FADS1	TRUE	TRUE	FALSE
PIAS3	TRUE	FALSE	FALSE
PLA2G4C	TRUE	FALSE	FALSE
AGR2	TRUE	FALSE	FALSE
EIF1B	TRUE	FALSE	FALSE
HAX1	TRUE	FALSE	FALSE
TSPAN13	TRUE	FALSE	FALSE
ARHGDIG	TRUE	FALSE	FALSE
LARP4B	TRUE	FALSE	FALSE
FAM69B	TRUE	FALSE	FALSE
ACACB	TRUE	FALSE	FALSE
GRIN1	TRUE	FALSE	FALSE
PRR13	TRUE	TRUE	FALSE
CPT1C	TRUE	TRUE	FALSE
FAM184A	TRUE	TRUE	FALSE
ZBTB10	TRUE	FALSE	FALSE
NOG	TRUE	FALSE	FALSE
SIX3	TRUE	FALSE	FALSE
AMIGO2	TRUE	FALSE	TRUE
FGF11	TRUE	TRUE	FALSE
NBPF1	TRUE	FALSE	FALSE
PRRT2	TRUE	FALSE	FALSE
NLGN1	TRUE	TRUE	FALSE
SERINC5	TRUE	TRUE	FALSE
SLC39A8	TRUE	TRUE	FALSE
THBS3	TRUE	FALSE	TRUE
ICA1L	TRUE	TRUE	FALSE
TNFSF10	TRUE	TRUE	FALSE
LHX2	TRUE	FALSE	FALSE
GCG	TRUE	FALSE	FALSE
UTF1	TRUE	FALSE	FALSE
PCDHAC2	TRUE	FALSE	TRUE
ADCY9	TRUE	FALSE	FALSE
FAXDC2	TRUE	FALSE	FALSE
UPK1A	TRUE	FALSE	FALSE
MERTK	TRUE	FALSE	FALSE
JAM3	TRUE	FALSE	FALSE
BEGAIN	TRUE	FALSE	FALSE
CTSF	TRUE	FALSE	FALSE
RNF41	TRUE	TRUE	FALSE
RERE	TRUE	FALSE	FALSE
EBF4	TRUE	FALSE	TRUE
RAPGEF2	TRUE	FALSE	FALSE
SCD	TRUE	FALSE	FALSE
RSU1	TRUE	TRUE	FALSE
KCMF1	TRUE	FALSE	FALSE
PLCD4	TRUE	FALSE	FALSE
COL5A1	TRUE	FALSE	FALSE
WNT11	TRUE	FALSE	FALSE
DZIP1	TRUE	TRUE	FALSE
CDC42EP3	TRUE	FALSE	FALSE
PIANP	TRUE	FALSE	FALSE
FAM171B	TRUE	FALSE	FALSE
BCORL1	TRUE	FALSE	FALSE
HOXC9	TRUE	FALSE	FALSE
PMEPA1	TRUE	FALSE	TRUE
ITGA7	TRUE	FALSE	FALSE
DNAJC6	TRUE	TRUE	FALSE
FOXP2	TRUE	TRUE	FALSE
TMPRSS15	TRUE	FALSE	FALSE
CHST15	TRUE	FALSE	FALSE
AXIN2	TRUE	FALSE	FALSE
FBLN7	TRUE	FALSE	FALSE
CA12	TRUE	TRUE	FALSE
PYGO1	TRUE	TRUE	FALSE
CD36	TRUE	FALSE	FALSE
LIX1L	TRUE	FALSE	FALSE
RBMS2	TRUE	FALSE	FALSE
ZNF773	TRUE	TRUE	FALSE
EPHA7	TRUE	FALSE	FALSE
SEMA4G	TRUE	FALSE	FALSE
CCR10	TRUE	FALSE	FALSE
ARHGAP17	TRUE	FALSE	FALSE
SLC17A5	TRUE	TRUE	FALSE
TBC1D9	TRUE	FALSE	FALSE
UAP1L1	TRUE	FALSE	FALSE
GPC2	TRUE	FALSE	FALSE
TXNL4A	TRUE	FALSE	FALSE
HIST1H1C	TRUE	FALSE	FALSE
PTPDC1	TRUE	FALSE	FALSE
HABP4	TRUE	FALSE	FALSE
ZNF609	TRUE	FALSE	FALSE
WNT10B	TRUE	FALSE	FALSE
MED8	TRUE	FALSE	FALSE
PDE4A	TRUE	FALSE	TRUE
KCNH2	TRUE	FALSE	FALSE
PPP2R5B	TRUE	FALSE	FALSE
DENND5B	TRUE	FALSE	FALSE
CIART	TRUE	TRUE	FALSE
FBLN5	TRUE	FALSE	TRUE
CFH	TRUE	FALSE	FALSE
SPSB4	TRUE	FALSE	FALSE
SIDT2	TRUE	FALSE	FALSE
NREP	TRUE	FALSE	TRUE
AKNA	TRUE	FALSE	FALSE
LIMS1	TRUE	FALSE	FALSE
CHPT1	TRUE	FALSE	FALSE
VMO1	TRUE	FALSE	FALSE
NPTXR	TRUE	FALSE	FALSE
PCDH7	TRUE	FALSE	FALSE
ERN1	TRUE	FALSE	FALSE
ARNT	TRUE	FALSE	FALSE
A1BG	TRUE	FALSE	FALSE
CCPG1	TRUE	FALSE	FALSE
PCOLCE	TRUE	FALSE	FALSE
RNF130	TRUE	FALSE	FALSE
LRRK2	TRUE	TRUE	FALSE
PIP5K1A	TRUE	TRUE	FALSE
DGAT2	TRUE	FALSE	FALSE
CDK19	TRUE	FALSE	FALSE
DENND5A	TRUE	FALSE	FALSE
HOMER2	TRUE	FALSE	TRUE
ATP1B1	TRUE	TRUE	FALSE
TSPAN18	TRUE	FALSE	FALSE
ZNF708	TRUE	FALSE	FALSE
SOD2	TRUE	TRUE	FALSE
GNAI1	TRUE	TRUE	TRUE
ELMOD1	TRUE	FALSE	FALSE
HSPB8	TRUE	FALSE	FALSE
CADM2	TRUE	FALSE	FALSE
PABPC4L	TRUE	TRUE	FALSE
TSHZ3	TRUE	FALSE	FALSE
CCNB3	TRUE	TRUE	FALSE
JAKMIP1	TRUE	FALSE	FALSE
SLC40A1	TRUE	FALSE	FALSE
COPA	TRUE	FALSE	FALSE
ZCCHC24	TRUE	FALSE	FALSE
VLDLR	TRUE	TRUE	FALSE
CA11	TRUE	FALSE	FALSE
SEMA3C	TRUE	FALSE	FALSE
PLEKHO1	TRUE	FALSE	FALSE
HOXA11	TRUE	TRUE	FALSE
PI15	TRUE	FALSE	FALSE
TSPAN33	TRUE	FALSE	TRUE
CCNY	TRUE	FALSE	FALSE
TUFT1	TRUE	FALSE	FALSE
PALM3	TRUE	FALSE	FALSE
PCK2	TRUE	FALSE	FALSE
SHROOM3	TRUE	FALSE	TRUE
ZNF611	TRUE	FALSE	FALSE
NOVA2	TRUE	FALSE	FALSE
DHRS2	TRUE	FALSE	FALSE
SLC29A4	TRUE	FALSE	FALSE
TLE2	TRUE	FALSE	TRUE
CALCRL	TRUE	FALSE	FALSE
SEC14L1	TRUE	FALSE	FALSE
PLEKHG2	TRUE	FALSE	FALSE
EMP3	TRUE	TRUE	FALSE
HOXB5	TRUE	FALSE	FALSE
TIMMDC1	TRUE	FALSE	FALSE
RGMB	TRUE	FALSE	FALSE
PACSIN1	TRUE	FALSE	TRUE
KCNN1	TRUE	FALSE	FALSE
