Geneid	AN14028316	AN14028318	AN14028320	AN14028322	AN14028324	AN14028326	AN14028328	AN14028330
LINC02783	309	372	236	287	96	86	106	125
PADI1	429	560	1370	1576	220	183	449	606
PADI3	2	8	21	11	9	0	0	13
MIR3972	0	0	0	0	0	0	0	0
PADI4	0	0	0	0	0	0	0	0
PADI6	0	0	0	0	0	0	0	0
RCC2	13368	15373	11826	12903	6968	5185	9723	11997
ARHGEF10L	238	167	50	58	44	38	25	36
ACTL8	2	6	5	6	0	0	0	0
LINC01654	0	0	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0	0	0
KLHDC7A	2	2	0	0	14	8	0	0
PAX7	0	0	0	0	0	0	0	0
TAS1R2	0	0	0	0	0	0	0	0
ALDH4A1	572	503	229	184	233	143	78	94
MIR4695	0	0	0	0	0	0	0	0
MIR1290	0	0	0	0	0	0	0	0
IFFO2	1877	2075	1006	1123	496	380	464	547
UBR4	17824	22431	20455	22555	14056	10846	17852	19997
EMC1-AS1	13	13	17	14	16	17	17	6
EMC1	5234	6581	6789	7582	5321	4221	4249	4766
MRTO4	3909	4709	4072	4839	1679	1147	1777	2092
AKR7L	16	17	9	19	24	21	15	17
AKR7A3	11	7	6	11	9	1	7	10
LOC100506730	98	127	143	173	168	140	144	161
AKR7A2	972	1069	868	952	458	337	460	564
SLC66A1	683	651	322	411	171	96	123	186
CAPZB	6454	8347	6818	7883	6239	4786	5666	6875
LOC105378614	3	0	0	0	0	0	0	0
MICOS10	1836	2547	2341	2281	2933	2693	2142	2289
MICOS10-NBL1	0	0	0	0	0	0	0	0
RPS14P3	33	22	19	23	41	29	37	53
NBL1	9	9	6	8	5	6	1	3
HTR6	2	0	0	2	0	0	0	6
TMCO4	1552	1544	1067	1093	381	251	379	504
RNF186	0	0	0	0	0	0	0	0
OTUD3	598	810	880	1016	875	673	982	1118
PLA2G2E	0	0	0	0	0	0	0	0
PLA2G2A	0	0	0	0	0	0	0	0
PLA2G5	2	0	0	0	0	0	0	0
PLA2G2D	0	0	0	2	0	0	0	0
PLA2G2F	0	0	0	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0	0	0
UBXN10-AS1	0	0	0	0	0	0	0	0
UBXN10	0	2	18	23	0	1	0	2
LINC01757	0	0	0	0	0	0	0	0
VWA5B1	2	0	0	0	0	0	0	0
LINC01141	0	0	0	2	0	0	0	0
CAMK2N1	597	824	590	720	270	219	41	39
MUL1	1253	1327	879	917	579	394	433	459
FAM43B	0	2	0	0	0	0	0	0
CDA	90	92	293	254	4	4	16	10
PINK1	618	596	261	278	197	108	86	136
MIR6084	0	0	0	0	0	0	0	0
PINK1-AS	220	239	260	282	156	141	107	124
DDOST	10592	12299	11682	12736	8065	5563	5744	7001
KIF17	87	67	28	39	14	25	17	12
SH2D5	868	917	617	727	253	177	244	336
HP1BP3	7837	10817	10242	12451	10442	9333	13158	14818
EIF4G3	5574	7736	6760	8248	7343	6202	10678	11863
MIR1256	0	0	0	0	0	0	0	0
ECE1	11351	11742	9052	10219	6510	4391	4846	6245
ECE1-AS1	24	28	31	37	6	4	6	14
NBPF3	230	274	284	305	256	221	202	271
ALPL	134	130	18	20	137	80	4	8
RAP1GAP	439	410	67	46	177	142	163	211
USP48	2807	3777	4634	5325	9033	8254	10448	11408
LDLRAD2	6	6	1	7	5	3	1	0
HSPG2	5380	3420	2151	1900	862	471	535	815
CELA3B	2	0	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0	0	0
LINC01635	27	26	12	21	19	11	11	7
LINC00339	506	705	640	719	448	371	672	881
CDC42	6407	8762	9248	10668	13083	12206	8572	8902
WNT4	4	4	2	3	10	4	4	13
MIR4418	0	0	0	0	0	0	0	0
ZBTB40	3017	3942	2167	2256	2010	1636	1879	2114
EPHA8	28	18	0	0	0	0	0	2
MIR6127	0	0	0	0	0	0	0	0
C1QA	0	0	0	0	0	0	0	0
C1QC	0	0	0	0	0	0	0	0
C1QB	0	0	0	0	0	0	0	0
EPHB2	2391	2263	1823	1679	269	168	296	380
MIR4684	0	0	0	0	0	0	0	0
MIR4253	0	1	0	0	0	0	0	0
LACTBL1	0	0	0	0	0	0	0	0
TEX46	14	14	4	6	5	6	4	2
KDM1A	6789	9101	9677	11549	6027	4976	8355	9627
MIR3115	0	1	0	0	0	1	0	0
LUZP1	3896	5415	4849	5398	5108	4159	4200	4720
HTR1D	257	298	129	130	65	35	16	29
LINC01355	114	171	187	201	232	205	391	479
HNRNPR	7268	10108	10529	13952	8459	7257	8469	9697
ZNF436	646	671	684	742	2249	1830	1647	1783
ZNF436-AS1	87	156	158	155	157	102	229	267
TCEA3	26	35	2	13	16	9	51	56
ASAP3	128	132	69	79	515	372	392	435
E2F2	337	328	212	163	355	297	334	487
LOC101928163	0	0	0	1	2	0	2	0
ID3	244	228	22	17	24	14	18	59
MDS2	0	0	0	0	0	0	2	2
RPL11	35435	48732	38848	48470	28394	21253	23715	29314
ELOA	3578	4671	4550	5170	2858	2220	2490	2933
ELOA-AS1	67	94	53	65	51	32	47	76
PITHD1	1124	1398	1970	2275	1363	1107	2486	2744
LYPLA2	3434	2450	1216	1436	650	342	410	708
GALE	2712	2871	2231	2366	360	243	834	1223
HMGCL	1559	1931	1757	2107	1075	737	1570	1756
FUCA1	598	765	1465	1672	1791	1690	1550	1627
CNR2	1	0	0	2	2	6	2	0
MIR378F	0	0	0	0	0	0	0	0
PNRC2	34	25	40	41	51	33	33	57
SRSF10	74	81	103	139	116	89	96	124
MYOM3	3	6	83	98	0	2	4	20
IL22RA1	39	61	33	41	32	17	45	58
IFNLR1	625	745	384	442	160	144	194	225
LINC02800	0	0	0	2	0	0	0	0
GRHL3	18	8	42	42	67	59	31	33
STPG1	246	235	293	367	268	178	185	192
NIPAL3	1327	1683	2220	2437	2158	1836	1732	1884
RCAN3AS	0	0	0	0	0	0	0	0
RCAN3	329	518	234	275	458	385	27	26
NCMAP-DT	0	0	0	0	0	0	0	0
NCMAP	0	4	17	10	10	10	2	2
SRRM1	4304	5602	5505	6553	3796	3251	5821	6600
CLIC4	14826	20609	19984	26038	20604	18567	27015	29895
RUNX3	86	99	75	107	1060	879	822	937
MIR6731	0	0	0	0	0	0	0	0
MIR4425	0	0	0	0	0	0	0	0
SYF2	1781	2120	2079	2538	2219	2049	3188	3492
RSRP1	2559	3116	2155	2717	3154	2811	3097	3643
RHD	1	0	0	0	0	0	0	0
TMEM50A	2709	3345	3726	4532	4303	3868	4232	4728
RHCE	45	58	35	31	18	15	28	26
MACO1	771	1055	819	927	954	792	1215	1440
LDLRAP1	979	990	782	840	687	457	683	977
MAN1C1	13	10	17	24	13	6	12	8
SELENON	1719	1677	1076	1151	634	431	549	666
MTFR1L	726	959	519	592	921	731	665	765
LOC646471	137	188	83	71	219	179	133	143
AUNIP	596	788	940	1069	540	484	1322	1518
PAQR7	286	240	401	403	201	154	356	484
STMN1	10329	14293	13227	14867	14452	12647	11857	13123
MIR3917	0	0	0	0	0	0	0	0
PAFAH2	737	1010	640	727	685	506	671	809
EXTL1	3	13	0	0	2	2	2	2
SLC30A2	3	6	0	2	2	2	4	9
TRIM63	0	0	0	0	0	0	0	0
PDIK1L	235	387	292	422	371	360	588	755
FAM110D	2	4	2	0	0	0	0	4
C1orf232	0	1	0	0	0	0	0	2
ZNF593	584	457	301	270	83	51	80	119
CNKSR1	769	732	478	473	191	136	163	286
CATSPER4	0	0	0	0	0	0	0	2
ZPLD2P	0	0	0	2	0	0	2	4
CEP85	1364	1736	2203	2562	1307	907	2398	2806
SH3BGRL3	3434	3678	2401	2725	1171	863	659	809
UBXN11	225	230	114	96	96	50	54	58
CD52	0	0	0	0	0	0	0	0
CRYBG2	40	44	69	78	8	22	74	100
ZNF683	0	0	0	0	0	0	0	0
LIN28A	0	8	0	4	2	0	0	0
DHDDS	1321	1598	1431	1525	1207	915	989	1207
DHDDS-AS1	7	4	8	3	6	6	2	8
HMGN2	5750	7480	7101	7875	6041	4699	4898	5619
RPS6KA1	829	958	907	917	552	390	625	788
MIR1976	0	0	0	1	0	0	0	0
LOC101928728	7	24	18	15	19	15	9	4
ARID1A	3888	4740	4494	4924	4003	3288	3948	4673
PIGV	770	985	882	1008	601	411	633	724
ZDHHC18	870	1017	825	844	613	418	610	847
SFN	2313	1891	1712	1496	210	119	197	266
GPN2	1242	1483	1193	1349	1130	859	965	1167
GPATCH3	417	401	326	385	195	132	191	227
NR0B2	4	4	0	2	0	0	0	0
NUDC	5020	5706	5163	5906	2827	2040	2789	3402
KDF1	853	757	590	500	323	190	416	540
TRNP1	362	476	1213	1526	353	293	146	160
TENT5B	341	376	461	538	604	341	365	480
SLC9A1	835	879	672	718	427	297	597	769
WDTC1	2071	2282	1704	1808	1366	934	1087	1446
TMEM222	1544	1503	624	668	343	197	310	414
ACTG1P20	70	94	70	61	71	57	57	51
SYTL1	381	248	174	105	14	8	59	66
MAP3K6	673	631	231	278	52	33	55	61
FCN3	0	0	2	4	2	0	0	1
CD164L2	5	6	2	6	10	3	2	0
GPR3	39	39	59	61	16	24	27	37
WASF2	6293	7870	7475	8671	5656	4673	7080	8335
AHDC1	529	354	248	224	135	105	63	90
FGR	0	0	0	0	6	0	0	0
LINC02574	0	0	0	0	0	0	2	0
IFI6	210	260	1744	1693	935	732	95	110
FAM76A	206	235	349	372	309	285	400	440
STX12	1069	1414	1675	1864	1522	1332	1941	2122
PPP1R8	2235	2709	2686	3114	2025	1700	2692	2966
SCARNA1	1	3	2	3	4	5	1	0
THEMIS2	27	20	199	198	179	115	211	235
RPA2	2263	2897	2943	3480	2820	2347	2971	3430
SMPDL3B	720	816	830	889	1040	752	614	738
XKR8	205	243	169	220	228	151	116	104
EYA3	1752	2312	2189	2509	3206	2801	3025	3330
PTAFR	269	260	421	429	202	132	62	85
DNAJC8	4023	5261	5630	7220	4026	3446	3872	4342
ATP5IF1	4602	5234	4413	4545	6028	4980	3857	4308
SESN2	928	1034	1107	1086	888	570	1120	1537
MED18	475	647	619	717	457	379	534	698
PHACTR4	2084	2751	4241	4916	4549	3767	5587	6294
RCC1	4969	5760	5732	6370	1889	1381	2997	3391
SNHG3	2105	2749	2213	2603	1421	1160	2236	2521
SNORA73A	31	55	33	45	20	23	27	30
SNORA73B	35	37	36	39	11	13	22	24
TRNAU1AP	532	693	539	548	871	704	562	765
SNHG12	517	622	803	1085	220	192	712	889
SNORD99	17	32	29	38	4	18	24	37
SNORA61	0	0	0	0	0	0	0	0
SNORA44	5	10	4	8	5	3	4	3
SNORA16A	30	20	24	29	17	6	15	20
RAB42	21	34	144	147	41	19	107	104
TAF12	1100	1561	1602	1923	934	813	1381	1643
LINC01715	18	20	13	16	4	2	1	6
RNU11	0	0	0	0	0	0	0	0
GMEB1	258	424	463	457	517	471	566	590
YTHDF2	3137	4154	3458	4074	3879	3245	4430	4779
OPRD1	7	8	7	10	2	6	4	10
EPB41	1344	1873	2555	2969	1308	1213	3027	3289
TMEM200B	258	262	59	48	213	168	98	131
SRSF4	2892	3601	3955	4814	2431	2205	4564	5395
MECR	902	1075	858	936	604	438	448	592
PTPRU	1369	1227	422	433	566	320	74	81
LINC01756	0	2	0	0	1	2	0	0
LINC01648	0	0	0	0	0	0	0	0
MATN1	7	16	4	4	4	6	2	6
MATN1-AS1	22	36	34	40	6	10	18	17
LAPTM5	37	21	4	13	4	0	3	0
MIR4420	0	0	0	0	0	0	0	0
LINC01778	0	5	1	1	1	0	0	0
SDC3	2605	2756	1702	1846	1245	852	572	750
PUM1	5585	7247	5550	6504	5974	5031	5415	6052
SNORD103A	0	0	0	0	0	0	0	0
SNORD103B	6	4	7	2	2	3	6	2
SNORD103C	0	0	1	2	0	0	2	3
NKAIN1	17	18	4	4	8	0	0	2
SNRNP40	1987	2565	2812	3347	1738	1421	2341	2825
ZCCHC17	1308	1817	1747	2056	2063	1694	1366	1523
FABP3	25	21	52	83	44	46	45	34
SERINC2	2306	1716	1209	1193	789	493	669	964
