pathway	pval	padj	log2err	ES	NES	size	leadingEdge	collection
REACTOME_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT	0.001592604576930077	0.033572104481686016	0.45505986738722953	0.5143484598558905	1.7403646331669216	71		REACTOME
REACTOME_DNA_REPAIR	0.0017805978311675977	0.03679902184413036	0.45505986738722953	0.3638154977481749	1.490207596010813	301		REACTOME
REACTOME_GENE_SILENCING_BY_RNA	0.0018392988585687275	0.037281173017912284	0.45505986738722953	0.47047136368993703	1.6762997310278465	96		REACTOME
REACTOME_CELLULAR_SENESCENCE	0.0019457800153981294	0.03869532332508733	0.45505986738722953	0.415092997543969	1.566458110018109	152		REACTOME
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	0.002018163577203877	0.039391563155053454	0.4317076958033464	0.6260842921463712	1.8748778332399698	35		REACTOME
REACTOME_PEPTIDE_HORMONE_METABOLISM	0.0022675906911385226	0.043455283426545505	0.4317076958033464	-0.5190420622494318	-1.7788126165848834	62		REACTOME
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.002677853589159208	0.05040103005310367	0.4317076958033464	-0.6397641940900738	-1.8370969286382821	26		REACTOME
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	0.002797491213417638	0.05172904805161738	0.4317076958033464	0.5448010536727868	1.765003982979918	56		REACTOME
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS	0.0031981351655875536	0.05811783559533244	0.4317076958033464	0.4834175597221059	1.672678534033863	77		REACTOME
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	0.003550892953766126	0.06278675012894762	0.4317076958033464	0.4735904589971535	1.664432118466467	85		REACTOME
REACTOME_SYNTHESIS_OF_DNA	0.0035741982995605853	0.06278675012894762	0.4317076958033464	0.44437338433768026	1.6058836087831285	108		REACTOME
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	0.003792374749184551	0.0655272620596806	0.4317076958033464	0.5102046625836236	1.7191618376398492	70		REACTOME
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.004696235169342245	0.07983599787881816	0.40701791892395395	-0.6548297953207345	-1.8196987010879413	23		REACTOME
REACTOME_HDACS_DEACETYLATE_HISTONES	0.0048230343938506235	0.08069013097013583	0.40701791892395395	0.5356407117553735	1.689041983695839	50		REACTOME
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	0.005047217690549729	0.08292656797732943	0.40701791892395395	0.4977227300945694	1.6734494499099266	68		REACTOME
REACTOME_HCMV_LATE_EVENTS	0.005114067285129424	0.08292656797732943	0.40701791892395395	0.48127662045294994	1.6405482046968858	72		REACTOME
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.0058742827742952735	0.09381051581980633	0.40701791892395395	-0.6009492072773998	-1.7661013508831231	30		REACTOME
REACTOME_PKR_MEDIATED_SIGNALING	0.006093096689976061	0.09585259569007117	0.40701791892395395	0.4828848724036363	1.6339035098074781	71		REACTOME
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.006261814886027587	0.0970581307334276	0.40701791892395395	0.44132996082443243	1.61536813610988	117		REACTOME
REACTOME_HCMV_INFECTION	0.007896870783800962	0.12062756240762629	0.3807304007227924	0.41277914721409414	1.4987161303878187	113		REACTOME
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	0.008090933770926505	0.12182634563652193	0.3807304007227924	0.6780933084075915	1.7808622642932095	19		REACTOME
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	0.009339655735339037	0.13864784711334288	0.3807304007227924	0.6200645264259484	1.6896321751070678	22		REACTOME
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	0.009938934667592032	0.13967516186189335	0.3807304007227924	0.6039237682144285	1.7103172670080093	27		REACTOME
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	0.009909720729734282	0.13967516186189335	0.3807304007227924	-0.5936254005689081	-1.7046083701165533	26		REACTOME
REACTOME_MITOTIC_PROPHASE	0.009747605388152539	0.13967516186189335	0.3807304007227924	0.43977656710820284	1.5857242774912805	104		REACTOME
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.009842163238513998	0.13967516186189335	0.3807304007227924	-0.41773265848944585	-1.530360323820413	93		REACTOME
REACTOME_TRIGLYCERIDE_CATABOLISM	0.010525633956358329	0.14597392355265365	0.3807304007227924	0.6999981752564488	1.7838165617200852	16		REACTOME
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	0.010999392934228141	0.15056311886592808	0.3807304007227924	0.6787712709477423	1.684019462570313	15		REACTOME
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.011482186375200477	0.15515672358283722	0.3807304007227924	-0.5222176799439086	-1.6140027003209383	37		REACTOME
REACTOME_ESR_MEDIATED_SIGNALING	0.012090790502105962	0.16131257201543903	0.3807304007227924	0.373613246885533	1.4332066253782654	174		REACTOME
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.012593185868280853	0.1638668877181237	0.3807304007227924	-0.6576998924406785	-1.6527514726071768	15		REACTOME
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR	0.012544492979156465	0.1638668877181237	0.3807304007227924	-0.41960717952635385	-1.5293419898422216	91		REACTOME
REACTOME_LAGGING_STRAND_SYNTHESIS	0.012973135456357868	0.16474319001206256	0.3807304007227924	0.6373101099685394	1.6789530605192668	20		REACTOME
REACTOME_ECM_PROTEOGLYCANS	0.012927518236465301	0.16474319001206256	0.3807304007227924	-0.4724949657299236	-1.5733265093567559	56		REACTOME
REACTOME_INFLUENZA_INFECTION	0.01322567609065923	0.16595074523279557	0.3807304007227924	0.38586319275322917	1.4612326482777902	154		REACTOME
REACTOME_INTERFERON_SIGNALING	0.014229783691858986	0.17644931777905143	0.3807304007227924	0.3436630780265679	1.3820219345476101	243		REACTOME
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.015291474121161096	0.18525533015751489	0.3807304007227924	0.40718331087010257	1.480776834864094	111		REACTOME
REACTOME_RHO_GTPASE_EFFECTORS	0.015148521349596461	0.18525533015751489	0.3807304007227924	0.3410320626032335	1.3791620391110098	271		REACTOME
REACTOME_AMYLOID_FIBER_FORMATION	0.015941865295944876	0.1909400684309761	0.35248785758361917	0.4771524730837837	1.5565339966353828	59		REACTOME
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_KRAB_ZFP_PROTEINS	0.016147756545154497	0.1912329820066611	0.35248785758361917	0.4678682088737879	1.576506897580327	70		REACTOME
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX	0.017230146458692062	0.19764620175813719	0.35248785758361917	0.5668776237266419	1.6826524710116266	33		REACTOME
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	0.01725185062784499	0.19764620175813719	0.35248785758361917	0.3974773231129714	1.443158356310595	113		REACTOME
REACTOME_SIGNALING_BY_NOTCH	0.017038700386928816	0.19764620175813719	0.35248785758361917	0.3650435720238151	1.4011295433461055	181		REACTOME
REACTOME_COLLAGEN_DEGRADATION	0.01746461758899757	0.19793233267530583	0.35248785758361917	-0.47784693935790334	-1.5761875169648467	49		REACTOME
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	0.018157850720899867	0.20147612290302896	0.35248785758361917	-0.5864244199761255	-1.6440479731891051	24		REACTOME
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.018159612595624052	0.20147612290302896	0.35248785758361917	-0.47000770686602317	-1.5764230143781994	58		REACTOME
REACTOME_INTERFERON_GAMMA_SIGNALING	0.020098522698218022	0.2206650304575187	0.35248785758361917	0.427394087824008	1.4943493146502813	81		REACTOME
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	0.021112840666165474	0.22941169136225165	0.35248785758361917	0.5387568441862876	1.6226189115055	36		REACTOME
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	0.021431756990179546	0.2305007333433596	0.35248785758361917	0.6651360959024204	1.6949769665240937	16		REACTOME
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	0.02175343439340926	0.2315971702086198	0.35248785758361917	0.4783646310676355	1.517900480560698	53		REACTOME
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	0.022084915298451684	0.23277500724568073	0.35248785758361917	0.5400526462396644	1.6172466677707602	35		REACTOME
REACTOME_DEVELOPMENTAL_CELL_LINEAGES	0.02341795325395901	0.2443814131650772	0.35248785758361917	0.4320816545398194	1.5058525249161827	80		REACTOME
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	0.023788658528684937	0.24456231044909052	0.35248785758361917	0.4050537226201981	1.463789589472963	108		REACTOME
REACTOME_CDC42_GTPASE_CYCLE	0.023899352918649263	0.24456231044909052	0.35248785758361917	0.36739553423006416	1.3864597032094201	152		REACTOME
REACTOME_SARS_COV_1_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS	0.024473644208746197	0.24803097111556244	0.35248785758361917	0.6600723307527405	1.6820728926879716	16		REACTOME
REACTOME_OPIOID_SIGNALLING	0.024991270675106907	0.24954439027195624	0.35248785758361917	-0.40924636688522575	-1.460675057473056	81		REACTOME
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.02509649465733146	0.24954439027195624	0.35248785758361917	-0.3350704720972629	-1.3461675342349997	181		REACTOME
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES	0.027418596036896697	0.2700859833914871	0.35248785758361917	0.49869043880055824	1.5037162196220637	37		REACTOME
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.028176479723682157	0.2726278881602057	0.35248785758361917	0.6244404010075777	1.6203795965715566	18		REACTOME
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.028193965663626593	0.2726278881602057	0.35248785758361917	-0.37913011602228536	-1.4005629945266402	100		REACTOME
REACTOME_INTRAFLAGELLAR_TRANSPORT	0.029618176092239518	0.2837959781929132	0.35248785758361917	0.4824179506280965	1.4950401210553579	44		REACTOME
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.03042013014754892	0.2888542087884375	0.35248785758361917	-0.41798663961345917	-1.4392181636858725	66		REACTOME
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	0.03088951420108153	0.2906923925708923	0.35248785758361917	0.36910029078929935	1.3814051885329295	140		REACTOME
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS	0.032237633416688505	0.3006943860282273	0.3217759180753611	0.5230682728781691	1.5632586983164367	34		REACTOME
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.03406737827235256	0.31497383069350526	0.3217759180753611	0.5320209288535446	1.5791879818438581	33		REACTOME
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	0.03512776503626934	0.3219536030280685	0.3217759180753611	0.4763592602174289	1.4732341024149609	42		REACTOME
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	0.03686108416870425	0.3344498843585478	0.3217759180753611	0.46339525800314413	1.4472149398400012	49		REACTOME
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	0.03712584105308358	0.3344498843585478	0.3217759180753611	0.32770299620380294	1.3095540105093377	233		REACTOME
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	0.03758663190039464	0.33573144087301654	0.3217759180753611	0.35150316506928236	1.3489087287733088	173		REACTOME
REACTOME_SARS_COV_1_HOST_INTERACTIONS	0.038807839742804696	0.3437265805791273	0.3217759180753611	0.4101364490838063	1.4606027829923816	92		REACTOME
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0.039648426781443244	0.3482453485636765	0.3217759180753611	-0.5291747231280283	-1.5153495612466972	27		REACTOME
REACTOME_RHOJ_GTPASE_CYCLE	0.040256683739128066	0.35066565835571056	0.3217759180753611	0.459229677729885	1.476410277986849	55		REACTOME
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.041445306582262226	0.35628813990758185	0.3217759180753611	0.5682638660417932	1.5169086806457854	21		REACTOME
REACTOME_SIGNALING_BY_MET	0.041578217465495795	0.35628813990758185	0.3217759180753611	-0.42186155312787355	-1.4837218518575614	74		REACTOME
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	0.04562043795620438	0.38777372262773724	0.2878571172551493	0.3790329419414691	1.3779786522275317	110		REACTOME
REACTOME_CELL_CYCLE_CHECKPOINTS	0.04679376083188908	0.39456499133448875	0.27650059925447157	0.31190514274968123	1.2617141198073942	255		REACTOME
REACTOME_HSF1_ACTIVATION	0.04770992366412214	0.39738402865387684	0.2878571172551493	0.5378310348130513	1.5414621019846866	29		REACTOME
REACTOME_CELL_JUNCTION_ORGANIZATION	0.04788213627992634	0.39738402865387684	0.28201335001172506	0.3853518030234711	1.3777199105023061	101		REACTOME
REACTOME_TRIGLYCERIDE_METABOLISM	0.04886248511663554	0.3974358974358974	0.3217759180753611	0.555929930415001	1.5322131185075243	24		REACTOME
REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE	0.049019607843137254	0.3974358974358974	0.2878571172551493	0.539465037331113	1.5008142793610824	26		REACTOME
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.04838709677419355	0.3974358974358974	0.27650059925447157	0.40056628837912256	1.4043113621534162	84		REACTOME
REACTOME_DISEASES_OF_HEMOSTASIS	0.05387931034482758	0.4039345937659683	0.2878571172551493	-0.6098819979956178	-1.5325886196564644	15		REACTOME
REACTOME_RA_BIOSYNTHESIS_PATHWAY	0.0579998626838537	0.4039345937659683	0.3217759180753611	-0.5950209759554579	-1.5322566459688531	17		REACTOME
REACTOME_DARPP_32_EVENTS	0.05114869058119357	0.4039345937659683	0.3217759180753611	-0.5491569831645448	-1.5260457848721423	23		REACTOME
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0.06253611931404038	0.4039345937659683	0.2878051305355643	-0.5907064213304473	-1.5211461048859065	17		REACTOME
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES	0.05603448275862069	0.4039345937659683	0.28201335001172506	-0.60458902351348065	-1.519287763946482	15		REACTOME
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.06448023024093288	0.4039345937659683	0.2878051305355643	-0.5895818182679871	-1.5182501052721709	17		REACTOME
REACTOME_ATTENUATION_PHASE	0.050980392156862744	0.4039345937659683	0.28201335001172506	0.5378481211562016	1.4963159509877695	26		REACTOME
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	0.05534351145038168	0.4039345937659683	0.26635065708852557	0.5176038589318439	1.4834895733783786	29		REACTOME
REACTOME_GAP_JUNCTION_ASSEMBLY	0.05534351145038168	0.4039345937659683	0.26635065708852557	0.5164629462366328	1.4802196362280384	29		REACTOME
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.06417432210341152	0.4039345937659683	0.2878051305355643	-0.5302740853196598	-1.4735723254684152	23		REACTOME
REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER	0.056530214424951264	0.4039345937659683	0.26635065708852557	0.53344322628604	1.465610238563536	25		REACTOME
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.06505576208178439	0.4039345937659683	0.24133997681509095	0.5681588215655805	1.4636306663450565	17		REACTOME
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.05473684210526316	0.4039345937659683	0.28201335001172506	-0.48201587926560013	-1.4564042539202995	34		REACTOME
REACTOME_SYNDECAN_INTERACTIONS	0.053169734151329244	0.4039345937659683	0.28201335001172506	-0.5116563589782246	-1.4521877710584679	25		REACTOME
REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING	0.06463878326996197	0.4039345937659683	0.24504178543099617	0.5408653085986468	1.4437716890010899	21		REACTOME
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.055674518201284794	0.4039345937659683	0.28201335001172506	-0.4732054161570772	-1.4423784261458463	36		REACTOME
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.054307116104868915	0.4039345937659683	0.26635065708852557	0.48458566000584163	1.4383867418602223	33		REACTOME
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS	0.0649895178197065	0.4039345937659683	0.25720646646883816	-0.5328857066288135	-1.4312790289066277	20		REACTOME
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN	0.05714285714285714	0.4039345937659683	0.2616635217115731	0.4773167923108049	1.4293772972146617	35		REACTOME
REACTOME_PERK_REGULATES_GENE_EXPRESSION	0.0625	0.4039345937659683	0.26635065708852557	-0.47963630791906625	-1.419264018737569	32		REACTOME
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	0.062264150943396226	0.4039345937659683	0.24891111443470243	0.4605534565868503	1.41409501421733	41		REACTOME
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE	0.05253623188405797	0.4039345937659683	0.26635065708852557	0.4231931041447778	1.4133704300768852	66		REACTOME
REACTOME_COMPLEX_I_BIOGENESIS	0.05301645338208409	0.4039345937659683	0.26635065708852557	0.4269579542809556	1.400103285037438	61		REACTOME
REACTOME_DRUG_ADME	0.05807622504537205	0.4039345937659683	0.2529611230696109	0.4248457926614272	1.3962755118202128	62		REACTOME
REACTOME_VISUAL_PHOTOTRANSDUCTION	0.06222222222222222	0.4039345937659683	0.27128855468895297	-0.40190974754745074	-1.383861956371653	66		REACTOME
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.06092436974789916	0.4039345937659683	0.26635065708852557	-0.418584600216242	-1.3738380684092275	48		REACTOME
